country,year,month,fraud_cases,economy_index_2015,unemployment_rate,inflation_index,total_pop_thousands,conexiones_moviles,numero_transacciones_digitales_millions,monto_transacciones_millions,FRISK,ln_FRISK,std_ln_FRISK
Mexico,2017,2,47.0,97.541046,3.49,93.4829,121284.462,53.0,71.852979,18.780139,0.038751872436883134,0.03801986977254669,-0.5810422406169344
Mexico,2017,3,74.0,97.900787,3.56,94.1295,121394.147,53.0,71.852979,18.780139,0.060958457906541405,0.05917270514858172,-0.1827278901626454
Mexico,2017,4,40.0,97.841052,3.5,94.6109,121515.464,53.0,58.771482,16.522056,0.032917621085658696,0.0323874397025915,-0.6871026190442701
Mexico,2017,5,71.0,97.656602,3.51,95.1348,121633.276,53.0,58.771482,16.522056,0.05837218426970593,0.056732052548945304,-0.22868612401767457
Mexico,2017,6,74.0,98.13514,3.26,95.4728,121750.893,53.0,58.771482,16.522056,0.06077984167229065,0.05900433732045876,-0.18589830778770647
Mexico,2017,7,65.0,97.292176,3.19,95.8089,121865.383,53.0,60.391931,16.649983,0.05333754213040138,0.05196373461614737,-0.3184750069923767
Mexico,2017,8,86.0,98.314704,3.28,96.2779,121983.267,53.0,60.391931,16.649983,0.07050147296022166,0.06812720500202193,-0.014111923113285154
Mexico,2017,9,53.0,97.167278,3.3,96.5257,122101.439,53.0,60.391931,16.649983,0.0434065318427574,0.04249087173871459,-0.49685190809765273
Mexico,2017,10,27.0,98.434909,3.44,96.9396,122215.855,53.0,61.451339,11.746235,0.02209205998681595,0.02185156598969566,-0.8854963388372687
Mexico,2017,11,130.0,99.225319,3.53,97.5102,122334.428,53.0,61.451339,11.746235,0.10626607907955396,0.10099045199555234,0.6047130545952377
Mexico,2017,12,40.0,99.833355,3.4,97.9182,122449.3,53.0,61.451339,11.746235,0.03266658118911255,0.03214437055294771,-0.6916796853682265
Mexico,2018,1,109.0,99.140975,3.32,98.2421,122537.86,57.0,59.119959,17.845347,0.0889521001917285,0.08521585785188682,0.30767262912429916
Mexico,2018,2,50.0,99.651487,3.35,98.5233,122686.676,57.0,59.119959,17.845347,0.04075422175428406,0.03994566353851236,-0.5447789558438405
Mexico,2018,3,128.0,100.336373,3.32,98.8202,122821.677,57.0,59.119959,17.845347,0.10421613116388241,0.09913569967604324,0.5697875019558103
